,0
age_alicorp,0.04429791056063065
has_credit_line,0.06750118843106252
has_perfect_customer,0.01686994748930386
has_marketing_impulse,0.025271961988931956
has_any_initiative,0.04365600121768892
initiatives_count,0.01646694738894782
total_amount,0.021225393705096563
mean_amount,0.09152525169030333
median_amount,0.05720252176633616
std_amount,0.11990414648939238
max_amount,0.08659292972761835
min_amount,0.07600493535202603
total_discount,0.0943140828347278
mean_discount,0.217090768577974
total_net_amount,0.027896845753119886
mean_discount_ratio,0.10913575025168001
amount_volatility,0.1902271160301944
n_transactions,0.08706591112231564
n_unique_dates,0.12947174212224674
n_unique_products,0.04388739461336332
n_unique_categories,0.014853881683323855
active_weeks,0.10766656279485692
active_months,0.040910303729617487
avg_basket_size,0.14538468622223316
category_entropy,0.28426105505211186
category_hhi,0.23784052701224878
recency_days,0.033526415312956526
tenure_in_period_days,0.016109487392178223
share_CAT1,0.11908094011600903
share_CAT10,0.0468441140507902
share_CAT2,0.05344281827340595
share_CAT3,0.01602842821891226
share_CAT4,0.008014876146229534
share_CAT5,0.017944003101349807
share_CAT6,0.042209621713152456
share_CAT7,0.003424832997314163
share_CAT8,0.06927349963213905
share_CAT9,0.09105994192720955
amount_early,0.04173062183327249
amount_late,0.004475667167029917
amount_growth_ratio,0.24943486581821192
amount_growth_abs,0.0749523950004651
territory_id_T1,0.10359579903669408
territory_id_T2,0.025432536920204973
territory_id_T3,0.06763003818976682
territory_id_T4,0.06133800700471782
territory_id_T5,0.05989116228133139
territory_id_T6,0.11376813468953137
segment_S0,0.07675195374761175
segment_S1,0.07526832880192875
segment_S3,0.2700007955026714
segment_S4,0.40321160338343687
segment_S5,0.6735851199392779
segment_S6,0.0008613313000621391
